"FACILITY_DOCUMENT_COST_ID","CWNS_ID","FACILITY_ID","STATE_CODE","DOCUMENT_ID","DOCUMENT_TYPE","NEEDS_CATEGORY","COST_METHOD","BASE_AMOUNT","OFFICIAL_AMOUNT","SOLUTION_YEAR_START","SOLUTION_YEAR_END","SSO_FLAG","TREATMENT_PLANT_TYPE","SSA_FLAG"
52138,"48000000442",3613904,"TX",18974,"101d","XII","Decentralized",,328421,,,"","","Y"
52139,"48000000443",3613905,"TX",18974,"101d","XII","Decentralized",,18766930,,,"","","Y"
52140,"48000000444",3613907,"TX",18974,"101d","XII","Decentralized",,12609476,,,"","","Y"
52168,"48000000477",3613961,"TX",18974,"101d","XII","Decentralized",,750677,,,"","","Y"
52169,"48000000478",3613962,"TX",18974,"101d","XII","Decentralized",,1079098,,,"","","Y"
52188,"48001549001",430568,"TX",18974,"101d","XII","Decentralized",,2205114,,,"","","Y"
52197,"48000000492",3614052,"TX",18974,"101d","XII","Decentralized",,54118755,,,"","","Y"
52202,"48000000495",3614055,"TX",18974,"101d","XII","Decentralized",,14544371,,,"","","Y"
52209,"48000000498",3614059,"TX",18974,"101d","XII","Decentralized",,375339,,,"","","Y"
52214,"48000000502",3614063,"TX",18974,"101d","XII","Decentralized",,12386174,,,"","","Y"
52218,"48000000505",3614066,"TX",18974,"101d","XII","Decentralized",,1079098,,,"","","Y"
52219,"48000000506",3614067,"TX",18974,"101d","XII","Decentralized",,70938995,,,"","","Y"
52225,"48003200002",432079,"TX",18974,"101d","XII","Decentralized",,59538085,,,"","","Y"
52222,"48000000509",3614070,"TX",18974,"101d","XII","Decentralized",,21675804,,,"","","Y"
52228,"48000000515",3614076,"TX",18974,"101d","XII","Decentralized",,9711886,,,"","","Y"
52229,"48000000517",3614078,"TX",18974,"101d","XII","Decentralized",,234587,,,"","","Y"
52230,"48000000518",3614079,"TX",18974,"101d","XII","Decentralized",,26930544,,,"","","Y"
52232,"48000000520",3614081,"TX",18974,"101d","XII","Decentralized",,36240569,,,"","","Y"
52234,"48000000522",3614083,"TX",18974,"101d","XII","Decentralized",,469173,,,"","","Y"
52244,"48002036003",3340002,"TX",18974,"101d","XII","Decentralized",,13046687,,,"","","Y"
52410,"48000000528",3614092,"TX",18974,"101d","XII","Decentralized",,118935417,,,"","","Y"
52203,"48000000496",3614056,"TX",18974,"101d","XII","Decentralized",,64135982,,,"","","Y"
52217,"48000000504",3614065,"TX",18974,"101d","XII","Decentralized",,94355482,,,"","","Y"
27791,"48001225001",1183006,"TX",5327,"1","I","Documented",47500,51270,,,"N","",""
27816,"48007012002",1183782,"TX",5327,"1","I","Documented",131680466,142132035,,,"N","",""
56413,"48000000261",3610958,"TX",9680,"53","VII-A","NPS: Agriculture",,10973733,,,"","",""
37729,"48003033014",3514808,"TX",13485,"20","I","Documented",23098000,23478723,,,"N","",""
52471,"48000000530",3614095,"TX",18974,"101d","XII","Decentralized",,7647524,,,"","","Y"
45049,"48001102001",1182905,"TX",16888,"12a","X","Documented",99249000,102210078,,,"","",""
52241,"48002079002",435410,"TX",18974,"101d","XII","Decentralized",,29839418,,,"","","Y"
52223,"48000000511",3614072,"TX",18974,"101d","XII","Decentralized",,146991977,,,"","","Y"
52392,"48000000526",3614090,"TX",18974,"101d","XII","Decentralized",,44336872,,,"","","Y"
27872,"48002019001",1183118,"TX",5327,"1","I","Documented",1156000,1247753,,,"Y","",""
17743,"48009003001",1184467,"TX",5419,"1","III-A","Documented",4341000,4111963,,,"Y","",""
22005,"48000000167",3610568,"TX",5419,"1","I","Documented",56260000,53291645,,,"N","",""
22006,"48000000168",3610569,"TX",5419,"1","XII","Documented",6000000,5683432,,,"","",""
22007,"48000000170",3610571,"TX",1517,"1","I","Documented",11989125,12287990,,,"N","",""
56556,"48000000290",3610992,"TX",9680,"53","VII-A","NPS: Agriculture",,4544596,,,"","",""
56538,"48000000305",3611007,"TX",9680,"53","VII-A","NPS: Agriculture",,652829,,,"","",""
40899,"48000000123",3609624,"TX",5419,"1","I","Documented",8078700,7652457,,,"N","",""
56541,"48000000308",3611010,"TX",9680,"53","VII-A","NPS: Agriculture",,735367,,,"","",""
56553,"48000000287",3610989,"TX",9680,"53","VII-A","NPS: Agriculture",,1563168,,,"","",""
56557,"48000000292",3610994,"TX",9680,"53","VII-A","NPS: Agriculture",,4100911,,,"","",""
56461,"48000000344",3611068,"TX",9680,"53","VII-A","NPS: Agriculture",,7506044,,,"","",""
56469,"48000000352",3611077,"TX",9832,"53","VII-A","NPS: Agriculture",,3756943,,,"","",""
18444,"48006022001",417949,"TX",5419,"1","III-B","Documented",17193000,16285874,,,"N","",""
20192,"48004104001",1183410,"TX",1517,"1","I","Documented",9948500,10196496,,,"N","",""
20222,"48007815001",1184284,"TX",1517,"1","I","Documented",4177500,4281637,,,"N","",""
32872,"48007039003",1183822,"TX",11183,"20","I","Documented",2825000,2998536,,,"N","",""
22261,"48000000171",3610608,"TX",1517,"1","I","Documented",7350875,7534118,,,"N","",""
35704,"48007039043",1183838,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35705,"48007039043",1183838,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
56471,"48000000354",3611094,"TX",9832,"53","VII-A","NPS: Agriculture",,7177015,,,"","",""
56478,"48000000362",3611103,"TX",9832,"53","VII-A","NPS: Agriculture",,298031,,,"","",""
56481,"48000000365",3611108,"TX",9832,"53","VII-A","NPS: Agriculture",,6037178,,,"","",""
56487,"48000000372",3611119,"TX",9832,"53","VII-A","NPS: Agriculture",,8425346,,,"","",""
56501,"48000000389",3611145,"TX",9832,"53","VII-A","NPS: Agriculture",,3022510,,,"","",""
56515,"48000000315",3611019,"TX",9680,"53","VII-A","NPS: Agriculture",,1328441,,,"","",""
15493,"48000000112",3609242,"TX",5419,"1","I","Documented",20138870,19076315,,,"N","",""
20732,"48071241001",3150676,"TX",1517,"1","X","Documented",3784128,3878459,,,"","",""
20788,"48003009001",1227803,"TX",1517,"1","I","Documented",9041400,9266784,,,"N","",""
20793,"48000000130",3610396,"TX",1517,"1","I","Documented",17000000,17423776,,,"N","",""
28274,"48004086001",1183395,"TX",5327,"1","I","Documented",1250000,1349213,,,"Y","",""
20081,"48001166002",1182961,"TX",5419,"1","I","Documented",9180875,8696479,,,"N","",""
21589,"48001131004",3540036,"TX",1517,"1","IV-A","Documented",11245000,11525315,,,"N","",""
17693,"48000000116",3609567,"TX",5419,"1","I","Documented",71780000,67992788,,,"N","",""
17610,"48005020002",1227871,"TX",5419,"1","V","Documented",10200000,9661834,,,"","",""
18368,"48001106001",1182911,"TX",5419,"1","III-A","Documented",5428939,5142501,,,"N","",""
18404,"48001120001",1182922,"TX",5419,"1","I","Documented",3412134,3232105,,,"N","",""
20064,"48008045003",3049348,"TX",5419,"1","I","Documented",50420000,47759771,,,"N","",""
28791,"48004075001",1183386,"TX",5327,"1","III-A","Documented",13413000,14477599,,,"Y","",""
15420,"48005021001",1227872,"TX",1517,"1","I","Documented",60000000,61495680,,,"N","",""
16491,"48001125001",1182927,"TX",5419,"1","III-B","Documented",4500000,4262574,,,"N","",""
16501,"48000000108",3609159,"TX",5419,"1","I","Documented",10091362,9558928,,,"N","",""
16502,"48004021001",1183337,"TX",6612,"1","III-A","Documented",1281000,1403778,,,"N","",""
18407,"48001120001",1182922,"TX",5419,"1","III-B","Documented",540000,511509,,,"N","",""
21114,"48001104003",1182908,"TX",5419,"1","II","Documented",53023742,50226136,,,"Y","",""
21116,"48001104003",1182908,"TX",5419,"1","III-B","Documented",90681825,85897327,,,"Y","",""
38248,"48003033500",3514842,"TX",13809,"20","VI-A","Documented",121467491,123469632,,,"","",""
35581,"48007039047",1183839,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35582,"48007039047",1183839,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
35609,"48007039012",1183827,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35610,"48007039012",1183827,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
35652,"48007039113",2882180,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35653,"48007039113",2882180,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
21408,"48004089001",1183398,"TX",5327,"1","I","Documented",5469288,5903389,,,"N","",""
21414,"48004076001",1183387,"TX",8526,"3","I","Documented",953416,1024730,,,"N","",""
21415,"48004076001",1183387,"TX",8526,"3","III-B","Documented",1233316,1325566,,,"N","",""
22932,"48001246001",1183023,"TX",5419,"1","I","Documented",2476500,2345836,,,"Y","",""
22933,"48001246001",1183023,"TX",5419,"1","III-B","Documented",672500,637018,,,"Y","",""
41088,"48000000412",3612700,"TX",1517,"1","I","Documented",2402307,2462192,,,"N","",""
41856,"48009029001",1184484,"TX",5419,"1","I","Documented",275000,260491,,,"N","",""
20043,"48001130002",1182934,"TX",5419,"1","III-B","Documented",1660000,1572416,,,"N","",""
20047,"48007488001",1184098,"TX",5419,"1","III-A","Documented",25156786,23829479,,,"Y","",""
23927,"48007646001",1184193,"TX",5419,"1","I","Documented",2000000,1894477,,,"Y","",""
23928,"48007646001",1184193,"TX",5419,"1","III-B","Documented",5650000,5351898,,,"Y","",""
21011,"48007826003",1184289,"TX",1517,"1","I","Documented",6000000,6149568,,,"N","",""
21045,"48001148001",1182951,"TX",1517,"1","X","Documented",5298300,5430376,,,"","",""
56416,"48000000264",3610962,"TX",9680,"53","VII-A","NPS: Agriculture",,1208182,,,"","",""
56418,"48000000266",3610964,"TX",9680,"53","VII-A","NPS: Agriculture",,975883,,,"","",""
40839,"48000000122",3609622,"TX",5419,"1","IV-A","Documented",6593000,6245144,,,"Y","",""
35595,"48007039006",1183824,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35596,"48007039006",1183824,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
40845,"48000000122",3609622,"TX",5419,"1","I","Documented",12430000,11774176,,,"N","",""
17329,"48004213001",1183466,"TX",5419,"1","V","Documented",308000,291749,,,"","",""
17819,"48005049001",1183605,"TX",5419,"1","III-B","Documented",8420324,7976056,,,"N","",""
20021,"48003035005",3536257,"TX",5419,"1","I","Documented",5432700,5146063,,,"N","",""
20022,"48003035005",3536257,"TX",5419,"1","IV-B","Documented",14768600,13989388,,,"N","",""
43002,"48009508001",1184510,"TX",1517,"1","III-B","Documented",1460686,1497098,,,"N","",""
56453,"48000000336",3611056,"TX",9680,"53","VII-A","NPS: Agriculture",,2028327,,,"","",""
35592,"48007039091",1183856,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35593,"48007039091",1183856,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
35615,"48007039074",1183844,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35616,"48007039074",1183844,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
35679,"48007039021",1183830,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35680,"48007039021",1183830,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
35708,"48007039065",1183841,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35709,"48007039065",1183841,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
18198,"48004094001",1227847,"TX",5419,"1","III-B","Documented",2204520,2088206,,,"N","",""
17825,"48000000118",3609575,"TX",7137,"3","I","Documented",1674000,1636992,,,"N","",""
17826,"48000000118",3609575,"TX",7137,"3","IV-A","Documented",8743663,8550362,,,"N","",""
18396,"48009163001",1227954,"TX",5419,"1","III-A","Documented",3288000,3114521,,,"N","",""
15319,"48002031001",1183125,"TX",5419,"1","III-B","Documented",56000000,53045363,,,"Y","Secondary Mechanical",""
17360,"48006049001",1183712,"TX",5419,"1","III-A","Documented",2968000,2811404,,,"Y","",""
17489,"48004083001",1183393,"TX",5419,"1","I","Documented",10143800,9608599,,,"N","",""
20006,"48001684001",3150468,"TX",5419,"1","III-A","Documented",2500000,2368097,,,"Y","",""
37651,"48003033004",2902595,"TX",13485,"20","I","Documented",25441782,25861137,,,"N","",""
40808,"48007424001",1184069,"TX",5327,"1","III-B","Documented",6500000,7015909,,,"Y","",""
40877,"48005076001",1227882,"TX",5419,"1","IV-A","Documented",3340000,3163777,,,"N","",""
14301,"48001111001",1182915,"TX",5419,"1","III-B","Documented",3470000,3286918,,,"Y","",""
14328,"48005060001",1183612,"TX",5419,"1","I","Documented",800000,757791,,,"N","",""
14329,"48005060001",1183612,"TX",5419,"1","III-B","Documented",2145000,2031827,,,"Y","",""
14357,"48003001001",1183166,"TX",5419,"1","III-B","Documented",2000000,1894477,,,"N","",""
14408,"48006046001",1183708,"TX",1517,"1","I","Documented",6775000,6943887,,,"N","",""
35599,"48007039007",1183825,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35600,"48007039007",1183825,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
40483,"48008058001",1227940,"TX",5327,"1","III-B","Documented",1472250,1589103,,,"N","",""
28913,"48003031001",1183194,"TX",10600,"2","I","Documented",14550000,15716549,,,"N","",""
56297,"48000000139",3610487,"TX",8560,"53","VII-A","NPS: Agriculture",,1534037,,,"","",""
56315,"48000000255",3610947,"TX",9680,"53","VII-A","NPS: Agriculture",,22284524,,,"","",""
56323,"48000000157",3610505,"TX",8560,"53","VII-A","NPS: Agriculture",,2569675,,,"","",""
56346,"48000000188",3610835,"TX",8560,"53","VII-A","NPS: Agriculture",,8698914,,,"","",""
56385,"48000000227",3610874,"TX",8560,"53","VII-A","NPS: Agriculture",,5651007,,,"","",""
56386,"48000000228",3610875,"TX",8560,"53","VII-A","NPS: Agriculture",,32802061,,,"","",""
56392,"48000000234",3610917,"TX",8560,"53","VII-A","NPS: Agriculture",,3418764,,,"","",""
56393,"48000000235",3610918,"TX",8560,"53","VII-A","NPS: Agriculture",,2218985,,,"","",""
56400,"48000000242",3610925,"TX",8560,"53","VII-A","NPS: Agriculture",,3879442,,,"","",""
56513,"48000000313",3611015,"TX",9680,"53","VII-A","NPS: Agriculture",,1554951,,,"","",""
56523,"48000000323",3611027,"TX",9680,"53","VII-A","NPS: Agriculture",,7493159,,,"","",""
56532,"48000000299",3611001,"TX",9680,"53","VII-A","NPS: Agriculture",,30878119,,,"","",""
56535,"48000000302",3611004,"TX",9680,"53","VII-A","NPS: Agriculture",,15460441,,,"","",""
56540,"48000000307",3611009,"TX",9680,"53","VII-A","NPS: Agriculture",,20252649,,,"","",""
56542,"48000000309",3611011,"TX",9680,"53","VII-A","NPS: Agriculture",,7831525,,,"","",""
50245,"48000003001",1227737,"TX",16888,"12a","I","Documented",1430000,1472664,,,"N","",""
52161,"48000000469",3613951,"TX",18974,"101d","XII","Decentralized",,365118145,,,"","","Y"
52170,"48000000479",3613963,"TX",18974,"101d","XII","Decentralized",,3424965,,,"","","Y"
52172,"48000000481",3613965,"TX",18974,"101d","XII","Decentralized",,5207823,,,"","","Y"
52173,"48000000483",3613967,"TX",18974,"101d","XII","Decentralized",,3518799,,,"","","Y"
52530,"48000000537",3614125,"TX",18974,"101d","XII","Decentralized",,15154296,,,"","","Y"
51834,"48000000429",3613890,"TX",18974,"101d","XII","Decentralized",,73074552,,,"","","Y"
51944,"48000000438",3613899,"TX",18974,"101d","XII","Decentralized",,13465272,,,"","","Y"
56342,"48000000184",3610831,"TX",8560,"53","VII-A","NPS: Agriculture",,1379419,,,"","",""
56351,"48000000193",3610840,"TX",8560,"53","VII-A","NPS: Agriculture",,5472675,,,"","",""
56352,"48000000194",3610841,"TX",8560,"53","VII-A","NPS: Agriculture",,8164288,,,"","",""
56365,"48000000208",3610855,"TX",8560,"53","VII-A","NPS: Agriculture",,3833505,,,"","",""
56370,"48000000213",3610860,"TX",8560,"53","VII-A","NPS: Agriculture",,119698,,,"","",""
56371,"48000000214",3610861,"TX",8560,"53","VII-A","NPS: Agriculture",,71520,,,"","",""
56379,"48000000221",3610868,"TX",8560,"53","VII-A","NPS: Agriculture",,10669913,,,"","",""
28252,"48002065001",1183145,"TX",5327,"1","III-A","Documented",3567000,3850115,,,"Y","",""
43019,"48002068001",1183147,"TX",5419,"1","III-A","Documented",3554000,3366486,,,"Y","",""
17983,"48000000120",3609590,"TX",5419,"1","I","Documented",997000,944397,,,"N","",""
20103,"48003085001",1227818,"TX",1517,"1","III-A","Documented",2343250,2401663,,,"Y","",""
4281,"48003085001",1227818,"TX",1517,"1","I","Documented",2343250,2401663,,,"N","",""
44825,"48000000417",3613122,"TX",16841,"20","VI-A","Documented",4000000,3797104,,,"","",""
56051,"48004026801",3507483,"TX",19833,"20","VI-A","Documented",278240079,262494939,,,"","",""
56432,"48000000331",3611035,"TX",9680,"53","VII-A","NPS: Agriculture",,19460515,,,"","",""
35710,"48007039108",2884264,"TX",12305,"20","I","Documented",36033889,34189942,,,"N","",""
35711,"48007039108",2884264,"TX",12305,"20","III-B","Documented",37687917,35759329,,,"Y","",""
56338,"48000000180",3610827,"TX",8560,"53","VII-A","NPS: Agriculture",,17105026,,,"","",""
56343,"48000000185",3610832,"TX",8560,"53","VII-A","NPS: Agriculture",,18665019,,,"","",""
56394,"48000000236",3610919,"TX",8560,"53","VII-A","NPS: Agriculture",,5032538,,,"","",""
56401,"48000000243",3610926,"TX",8560,"53","VII-A","NPS: Agriculture",,7228180,,,"","",""
56402,"48000000244",3610927,"TX",8560,"53","VII-A","NPS: Agriculture",,1626098,,,"","",""
56502,"48000000390",3611146,"TX",9832,"53","VII-A","NPS: Agriculture",,4686142,,,"","",""
54444,"48000000544",3614326,"TX",18974,"101d","XII","Decentralized",,180175406,,,"","","Y"
56293,"48000000138",3610486,"TX",8560,"53","VII-A","NPS: Agriculture",,69092,,,"","",""
15252,"48000000111",3609229,"TX",5419,"1","I","Documented",10479107,9926215,,,"Y","",""
15254,"48000000111",3609229,"TX",5419,"1","III-B","Documented",7315000,6929050,,,"Y","",""
51952,"48000000440",3613901,"TX",18974,"101d","XII","Decentralized",,240985539,,,"","","Y"
52226,"48001097001",3542800,"TX",18974,"101d","XII","Decentralized",,103499618,,,"","","Y"
52233,"48000000521",3614082,"TX",18974,"101d","XII","Decentralized",,656843,,,"","","Y"
49982,"48008045001",1184392,"TX",16888,"12a","X","Documented",196963028,202839388,,,"","",""
56426,"48000000273",3610971,"TX",9680,"53","VII-A","NPS: Agriculture",,4840946,,,"","",""
56455,"48000000338",3611058,"TX",9680,"53","VII-A","NPS: Agriculture",,3516427,,,"","",""
56470,"48000000353",3611078,"TX",9832,"53","VII-A","NPS: Agriculture",,1247584,,,"","",""
52164,"48000000472",3613955,"TX",18974,"101d","XII","Decentralized",,31809946,,,"","","Y"
52159,"48000000466",3613948,"TX",18974,"101d","XII","Decentralized",,213921583,,,"","","Y"
56489,"48000000374",3611121,"TX",9832,"53","VII-A","NPS: Agriculture",,1193430,,,"","",""
56491,"48000000376",3611125,"TX",9832,"53","VII-A","NPS: Agriculture",,859173,,,"","",""
56493,"48000000380",3611132,"TX",9832,"53","VII-A","NPS: Agriculture",,6938740,,,"","",""
56500,"48000000388",3611144,"TX",9832,"53","VII-A","NPS: Agriculture",,1352156,,,"","",""
56292,"48000000327",3611031,"TX",9680,"53","VII-A","NPS: Agriculture",,259937,,,"","",""
56312,"48000000147",3610495,"TX",8560,"53","VII-A","NPS: Agriculture",,4190358,,,"","",""
56318,"48000000151",3610499,"TX",8560,"53","VII-A","NPS: Agriculture",,5625611,,,"","",""
56320,"48000000153",3610501,"TX",8560,"53","VII-A","NPS: Agriculture",,1917780,,,"","",""
56326,"48000000256",3610948,"TX",9680,"53","VII-A","NPS: Agriculture",,2429997,,,"","",""
56336,"48000000178",3610825,"TX",8560,"53","VII-A","NPS: Agriculture",,6539685,,,"","",""
56337,"48000000179",3610826,"TX",8560,"53","VII-A","NPS: Agriculture",,860480,,,"","",""
56360,"48000000203",3610850,"TX",8560,"53","VII-A","NPS: Agriculture",,26688695,,,"","",""
56366,"48000000209",3610856,"TX",8560,"53","VII-A","NPS: Agriculture",,621271,,,"","",""
56368,"48000000211",3610858,"TX",8560,"53","VII-A","NPS: Agriculture",,833030,,,"","",""
56395,"48000000237",3610920,"TX",8560,"53","VII-A","NPS: Agriculture",,1104357,,,"","",""
56411,"48000000259",3610954,"TX",9680,"53","VII-A","NPS: Agriculture",,6959094,,,"","",""
56422,"48000000270",3610968,"TX",9680,"53","VII-A","NPS: Agriculture",,10372443,,,"","",""
54435,"48000000541",3614321,"TX",18974,"101d","XII","Decentralized",,182355485,,,"","","Y"
56495,"48000000382",3611135,"TX",9832,"53","VII-A","NPS: Agriculture",,1909376,,,"","",""
56508,"48000000397",3611153,"TX",9832,"53","VII-A","NPS: Agriculture",,15419732,,,"","",""
56510,"48000000400",3611156,"TX",9832,"53","VII-A","NPS: Agriculture",,3715861,,,"","",""
43837,"48000000117",3609574,"TX",5419,"1","I","Documented",4670000,4423604,,,"N","",""
56311,"48000000253",3610945,"TX",9680,"53","VII-A","NPS: Agriculture",,25978164,,,"","",""
56335,"48000000177",3610824,"TX",8560,"53","VII-A","NPS: Agriculture",,417355,,,"","",""
56399,"48000000241",3610924,"TX",8560,"53","VII-A","NPS: Agriculture",,3755636,,,"","",""
56503,"48000000391",3611147,"TX",9832,"53","VII-A","NPS: Agriculture",,16526704,,,"","",""
56507,"48000000396",3611152,"TX",9832,"53","VII-A","NPS: Agriculture",,4267480,,,"","",""
51580,"48000000125",3609650,"TX",18974,"101d","XII","Decentralized",,23406913,,,"","","Y"
56279,"48000000137",3610485,"TX",8560,"53","VII-A","NPS: Agriculture",,1371950,,,"","",""
46675,"48004354012",2808161,"TX",17717,"3","I","Documented",112715000,105337046,,,"N","",""
53044,"48000000291",3610993,"TX",19153,"3","IV-A","Documented",21450000,22767642,,,"Y","",""
56528,"48000000294",3610996,"TX",9680,"53","VII-A","NPS: Agriculture",,1351409,,,"","",""
56537,"48000000304",3611006,"TX",9680,"53","VII-A","NPS: Agriculture",,10428837,,,"","",""
56549,"48000000284",3610985,"TX",9680,"53","VII-A","NPS: Agriculture",,266659,,,"","",""
51921,"48000000432",3613893,"TX",18974,"101d","XII","Decentralized",,80697798,,,"","","Y"
52145,"48000000450",3613914,"TX",18974,"101d","XII","Decentralized",,43257773,,,"","","Y"
52142,"48000000446",3613910,"TX",18974,"101d","XII","Decentralized",,63277762,,,"","","Y"
52149,"48000000454",3613934,"TX",18974,"101d","XII","Decentralized",,18673095,,,"","","Y"
52152,"48000000457",3613937,"TX",18974,"101d","XII","Decentralized",,5067071,,,"","","Y"
52153,"48000000459",3613940,"TX",18974,"101d","XII","Decentralized",,37674612,,,"","","Y"
52158,"48000000465",3613947,"TX",18974,"101d","XII","Decentralized",,3096543,,,"","","Y"
52163,"48000000471",3613954,"TX",18974,"101d","XII","Decentralized",,3941055,,,"","","Y"
52187,"48000000485",3614045,"TX",18974,"101d","XII","Decentralized",,6099252,,,"","","Y"
52189,"48000000488",3614048,"TX",18974,"101d","XII","Decentralized",,2392784,,,"","","Y"
52201,"48000000494",3614054,"TX",18974,"101d","XII","Decentralized",,50529958,,,"","","Y"
52235,"48000000523",3614084,"TX",18974,"101d","XII","Decentralized",,147484171,,,"","","Y"
54455,"48000000547",3614329,"TX",18974,"101d","XII","Decentralized",,509405094,,,"","","Y"
12510,"48003073001",1183224,"TX",1517,"1","III-B","Documented",1100000,1127421,,,"Y","Aerated Lagoon",""
46245,"48000000419",3613244,"TX",5826,"1","I","Documented",15427980,16652509,,,"N","",""
46246,"48000000419",3613244,"TX",5826,"1","IV-A","Documented",4000000,4317483,,,"N","",""
49483,"48003043003",3514976,"TX",18384,"3","I","Documented",98185000,91455348,,,"N","",""
49484,"48003043003",3514976,"TX",18384,"3","IV-A","Documented",25815000,24045626,,,"N","",""
49496,"48002031001",1183125,"TX",16888,"12a","I","Documented",12241000,12606208,,,"N","",""
54641,"48000000410",3612351,"TX",19463,"20","I","Documented",200000,203297,,,"N","",""
56358,"48000000201",3610848,"TX",8560,"53","VII-A","NPS: Agriculture",,6154448,,,"","",""
56348,"48000000190",3610837,"TX",8560,"53","VII-A","NPS: Agriculture",,6492814,,,"","",""
56423,"48000000271",3610969,"TX",9680,"53","VII-A","NPS: Agriculture",,9572279,,,"","",""
56479,"48000000363",3611104,"TX",9832,"53","VII-A","NPS: Agriculture",,2979374,,,"","",""
56482,"48000000366",3611112,"TX",9832,"53","VII-A","NPS: Agriculture",,1783330,,,"","",""
56494,"48000000381",3611133,"TX",9832,"53","VII-A","NPS: Agriculture",,6564894,,,"","",""
56496,"48000000383",3611137,"TX",9832,"53","VII-A","NPS: Agriculture",,4451041,,,"","",""
50006,"48000000423",3613866,"TX",16888,"12a","X","Documented",35589000,36650792,,,"","",""
17805,"48002007001",1183110,"TX",5419,"1","III-A","Documented",7796000,7384672,,,"N","",""
51855,"48000000431",3613892,"TX",18974,"101d","XII","Decentralized",,8022862,,,"","","Y"
52513,"48000000535",3614100,"TX",18974,"101d","XII","Decentralized",,516091,,,"","","Y"
54449,"48000000545",3614327,"TX",18974,"101d","XII","Decentralized",,171273628,,,"","","Y"
54460,"48000000548",3614330,"TX",18974,"101d","XII","Decentralized",,98619051,,,"","","Y"
43662,"48000000403",3611315,"TX",5327,"1","IV-B","Documented",24103000,26016072,,,"N","",""
56373,"48004122001",1183431,"TX",17681,"3","II","Documented",81000000,75448217,,,"N","",""
56376,"48000000218",3610865,"TX",8560,"53","VII-A","NPS: Agriculture",,12212167,,,"","",""
56378,"48000000220",3610867,"TX",8560,"53","VII-A","NPS: Agriculture",,5900300,,,"","",""
56380,"48000000222",3610869,"TX",8560,"53","VII-A","NPS: Agriculture",,9026636,,,"","",""
56383,"48000000225",3610872,"TX",8560,"53","VII-A","NPS: Agriculture",,667395,,,"","",""
56387,"48000000229",3610876,"TX",8560,"53","VII-A","NPS: Agriculture",,780183,,,"","",""
56388,"48000000230",3610877,"TX",8560,"53","VII-A","NPS: Agriculture",,3935090,,,"","",""
56391,"48000000233",3610916,"TX",8560,"53","VII-A","NPS: Agriculture",,1889769,,,"","",""
56397,"48000000239",3610922,"TX",8560,"53","VII-A","NPS: Agriculture",,7130144,,,"","",""
56403,"48000000245",3610928,"TX",9680,"53","VII-A","NPS: Agriculture",,781677,,,"","",""
56414,"48000000262",3610959,"TX",9680,"53","VII-A","NPS: Agriculture",,1689962,,,"","",""
56424,"48000000272",3610970,"TX",9680,"53","VII-A","NPS: Agriculture",,14876330,,,"","",""
56428,"48000000275",3610973,"TX",9680,"53","VII-A","NPS: Agriculture",,877473,,,"","",""
56435,"48000000333",3611053,"TX",9680,"53","VII-A","NPS: Agriculture",,1381287,,,"","",""
56462,"48000000345",3611069,"TX",9680,"53","VII-A","NPS: Agriculture",,1767644,,,"","",""
56463,"48000000346",3611070,"TX",9832,"53","VII-A","NPS: Agriculture",,13644619,,,"","",""
56465,"48000000348",3611073,"TX",9832,"53","VII-A","NPS: Agriculture",,302699,,,"","",""
56466,"48000000349",3611074,"TX",9832,"53","VII-A","NPS: Agriculture",,651896,,,"","",""
56468,"48000000351",3611076,"TX",9832,"53","VII-A","NPS: Agriculture",,19051749,,,"","",""
56476,"48000000359",3611100,"TX",9832,"53","VII-A","NPS: Agriculture",,989141,,,"","",""
56483,"48000000367",3611113,"TX",9832,"53","VII-A","NPS: Agriculture",,6695796,,,"","",""
56484,"48000000369",3611116,"TX",9832,"53","VII-A","NPS: Agriculture",,24450663,,,"","",""
56485,"48000000370",3611117,"TX",9832,"53","VII-A","NPS: Agriculture",,5057187,,,"","",""
56490,"48000000375",3611123,"TX",9832,"53","VII-A","NPS: Agriculture",,1216959,,,"","",""
